app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3nsTT2gAAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAElpb7twAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:20 PM [express] GET /api/bookings/0b5f9d64-2b84-44d1-ac68-458ed8bda0a6/room-status 200 in 140ms :: {"status":"unknown"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3oCTeExAAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAElpb7twAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:20 PM [express] GET /api/bookings/c7da224f-4854-4e52-8968-e88993a8b3b4/room-status 200 in 91ms :: {"status":"unknown"}
app-1  | 7:04:20 PM [express] GET /api/bookings/5b2d5f10-4738-4ef4-ade5-48aba80abddb/room-status 304 in 102ms :: {"status":"accepted"}
app-1  | 7:04:20 PM [express] GET /api/bookings/1ac4ddc8-28ee-45e8-990f-064e91a874b3/room-status 304 in 127ms :: {"status":"accepted"}
app-1  | 7:04:20 PM [express] GET /api/bookings/a4a6c2e7-f0db-4e7a-aae2-1e2df7011388/room-status 304 in 128ms :: {"status":"accepted"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3oSBTF0AAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAE46C2KAAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:20 PM [express] GET /api/bookings/fbdd27af-fdba-4d5a-ba25-35c9b572a693/room-status 200 in 89ms :: {"status":"unknown"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3oLu94mAAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAElpb7twAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:21 PM [express] GET /api/bookings/64a8f845-14b1-4a86-b913-9e90eeb7a669/room-status 200 in 101ms :: {"status":"unknown"}
app-1  | 7:04:21 PM [express] GET /api/bookings/cd9f2a1b-d1ab-4bc6-9059-e9b3668a718a/room-status 304 in 94ms :: {"status":"declined"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3nWTJoPAAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAElpb7twAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:21 PM [express] GET /api/bookings/f706bc49-a754-4afa-9be4-d54eab049618/room-status 304 in 1277ms :: {"status":"unknown"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3ooBdUFAAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAE46C2KAAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:21 PM [express] GET /api/bookings/d507e1ee-30e6-4ebd-b6dd-8fd2962bc5b3/room-status 200 in 103ms :: {"status":"unknown"}
app-1  | Failed to get event details for AAMkADQ3OGZkYTRmLTY5YmYtNGNjMi05ZGExLTkzNDk4YzUxYzMzNwFRAAgI3ohvIG3AAEYAAAAAhX3W6QwVA0KS5O6ECb3sCwcAOzAN7O0H-Uqzxo2tOYDHAAAAAAABDQAAOzAN7O0H-Uqzxo2tOYDHAAAElpb7twAAEA==: Graph API error 429: {"error":{"code":"ApplicationThrottled","message":"Application is over its MailboxConcurrency limit."}}
app-1  | 7:04:21 PM [express] GET /api/bookings/3e6f5d38-5b24-44e3-9c6f-0e962e759a3c/room-status 200 in 87ms :: {"status":"unknown"}
